"","test.return_factor","flat","down","up"
"95","flat",1,0,0
"96","down",0,1,0
"97","up",0,0,1
"98","down",0,1,0
"99","flat",1,0,0
"100","flat",1,0,0
"101","down",0,1,0
"102","up",0,0,1
"103","up",0,0,1
"104","up",0,0,1
"105","flat",1,0,0
"106","flat",1,0,0
