,Underlying,quarter,timestamp,industry,sector,earnBeatsBefore,earnMissBefore,PostEarningsReturn,1Year,6month,3month,1month,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
654,GERN,12/31/2017,11/2/2017,Biotechnology,Healthcare,2,0,-0.056887374,0.124352332,-0.165384615,0.00462963,-0.02690583,16.50971524,0.055137891,1150.981595,0.052256574,-11.55214724,-44.44171779,-44.44171779,-42.32515337,-44.44171779,0.332996769,0,-0.319901435,-0.056283906,down
813,INO,12/31/2017,11/9/2017,Biotechnology,Healthcare,0,1,-0.184951654,-0.188736682,-0.21037037,-0.029143898,-0.152623211,4.633430857,0.205918853,988.4658994,0.204049697,-8.646369524,-11.03611134,-11.03611134,-12.90754962,-11.03611134,-0.025012252,0.118371334,-0.244595054,-0.048447709,down
275,BLUE,12/31/2017,11/1/2017,Biotechnology,Healthcare,0,1,0.02730182,1.913089005,0.594269341,0.531095212,0.090552724,9.878868765,0.0672915,398.1818182,0.188110881,-7.124108417,-10.104526,-10.104526,-10.21981585,-10.104526,-1.884216808,0.031447825,-0.15570078,0.030832313,flat
73,AGEN,12/31/2017,11/7/2017,Biotechnology,Healthcare,0,1,-0.047428694,-0.0825,-0.029100529,-0.046753247,-0.195175439,1.550242679,-1.054505264,238.0576689,1.345643302,-6.67658352,-9.073078548,-9.073078548,-10.96675536,-9.073078548,-0.257461085,0.006688728,-0.208650701,0.06121079,down
414,CRSP,12/31/2017,11/10/2017,Biotechnology,Healthcare,0,1,0.029071815,0.041794714,-0.002941176,-0.118106139,-0.094551282,21.34076091,0.067708624,490.9991621,0.366114218,-6.475911186,-9.874319229,-9.874319229,-10.35064935,-9.874319229,-0.073939231,-0.004053753,-0.211559477,0.022876229,flat
1493,TTPH,12/31/2017,3/7/2018,Biotechnology,Healthcare,1,0,-0.033274789,-0.562798092,-0.615384615,-0.564183835,-0.470134875,7.553206577,0.151060497,319.9471355,0.131836834,-6.075731497,-7.452667814,-7.452667814,-7.378411606,-7.452667814,0.267412388,0.053302178,-0.104038923,-0.014306536,flat
1709,ZIOP,12/31/2017,11/7/2017,Biotechnology,Healthcare,1,0,-0.002143624,-0.147810219,-0.301943199,-0.182136602,-0.224252492,6.316345044,-0.227946613,2.969336671,0.491502158,-5.94931164,-8.183979975,-8.183979975,-7.948060075,-8.183979975,-0.151505817,-0.00270558,-0.148098575,0.14638559,flat
52,ADRO,12/31/2017,3/2/2018,Biotechnology,Healthcare,1,0,0.047628049,-0.453333333,-0.453333333,-0.297142857,-0.023809524,10.61451194,0.133725148,1333.10622,0.448727348,-5.445440169,-7.712967844,-7.712967844,-6.462836057,-7.712967844,-0.155778421,-0.024789548,-0.196696574,-0.678354851,up
958,MBI,12/31/2017,11/8/2017,Insurance - Property & Casualty,Financial Services,0,1,0.249067236,-0.098829649,-0.138059701,-0.320588235,-0.076,1.773920406,0.691451991,10866.57143,0.819782062,-5.085714286,-5.771428571,-5.771428571,-7.628571429,-5.771428571,-0.205882353,-0.006646217,-0.247191011,-0.055793991,up
1478,TRXC,12/31/2017,11/10/2017,Medical Instruments & Supplies,Healthcare,0,1,-0.003466208,0.840764331,4.160714286,3.128571429,0.965986395,2.391971473,0.184050117,819.7540984,0.452630032,-4.032786885,-81.3989071,-81.3989071,-210.4535519,-81.3989071,-0.216109137,0.003727799,-0.652584841,0.028585674,flat
42,ACRX,12/31/2017,11/10/2017,Medical Devices,Healthcare,0,1,0.015267472,-0.360655738,-0.22,-0.338983051,-0.093023256,4.778846154,-0.490679336,329.6536651,1.36630289,-2.99596503,-5.958977808,-5.958977808,-8.751176866,-5.958977808,0.085197833,0.001132222,-0.375854914,0.065300708,flat
521,EDIT,12/31/2017,11/8/2017,Biotechnology,Healthcare,0,1,-0.030812297,0.713967311,0.205329154,0.283092325,-0.08488695,10.11716843,0.16590546,40.38124801,0.475748024,-2.246736708,-4.258038841,-4.258038841,-4.234161095,-4.258038841,-0.665041252,-0.024209893,-0.160682732,0.091325017,flat
180,ARNA,12/31/2017,11/8/2017,Biotechnology,Healthcare,0,1,-0.071684663,17.97959184,22.44537815,0.345875543,0.068147014,4.418111725,0.314353527,661.2065929,0.372892954,-1.550075491,-2.530322094,-2.530322094,-4.070583795,-2.530322094,0.530874872,-0.000531997,-0.419373783,0.034900868,down
1010,MNKD,12/31/2017,11/8/2017,Biotechnology,Healthcare,0,1,-0.080042708,6.386363636,1.03125,1.826086957,-0.515648286,0.312994709,-0.364392566,322.3005384,5.44408052,-1.239353891,-12.04992658,-12.04992658,-16.0969163,-12.04992658,-1.15926737,-0.002695952,-0.222313446,-0.114439192,down
612,FGEN,12/31/2017,11/9/2017,Biotechnology,Healthcare,0,1,-0.113513716,2.399371069,1.028142589,0.315085158,-0.0425155,10.82449123,0.119856937,115.4744793,0.339843244,-0.845702552,-1.320658551,-1.320658551,-1.383726899,-1.320658551,0.554361326,0.014487559,-0.265786893,-0.165563632,down
1318,SGMO,12/31/2017,11/10/2017,Biotechnology,Healthcare,1,0,0.089379844,2.113924051,0.5,0.2,-0.226415094,5.6432946,0.230069863,121.0074501,0.308160761,-0.559854385,-1.103538774,-1.103538774,-1.04588554,-1.103538774,-1.336154412,-0.087155246,-0.146106524,-0.104162682,up
1259,RE,12/31/2017,10/31/2017,Insurance - Reinsurance,Financial Services,0,1,-0.007008443,0.189178436,-0.035767571,-0.094208114,0.042916957,2.222571617,0.294573033,509.9422204,0.667060435,-0.469821729,-0.47315424,-0.47315424,-0.359191006,-0.47315424,0.198481367,0.014324725,0.012825044,3.224671592,flat
1311,SENS,12/31/2017,11/1/2017,Diagnostics & Research,Healthcare,0,1,-0.127677717,0.247863248,0.780487805,0.226890756,-0.107033639,2.927548441,0.906921348,359.0820219,0.630017626,-0.41010968,-7.918454936,-7.918454936,-8.287553648,-7.918454936,-0.123392539,0.056561444,-0.058691524,0.055610204,down
493,DRRX,12/31/2017,11/2/2017,Drug Manufacturers - Specialty & Generic,Healthcare,1,0,0.096460266,-0.352459016,0.012820513,-0.535294118,-0.603015075,1.674769995,2.966630142,96.49527043,0.826176542,-0.392553966,-0.77310211,-0.77310211,0.741086587,-0.77310211,0.138351234,-0.092360893,0.389625266,-0.215339233,up
144,AMRS,12/31/2017,11/15/2017,Specialty Chemicals,Basic Materials,0,1,-0.045168968,2.976417461,11.19230769,0.43438914,-0.018575851,0.915483017,-0.346374804,375.9362731,2.410085077,-0.356449147,-0.995123362,-0.995123362,-1.399388354,-0.995123362,0.679924362,0.020386716,-0.116033195,0.292962588,down
80,AHL,12/31/2017,10/26/2017,Insurance - Reinsurance,Financial Services,1,0,0.016105329,-0.156522621,-0.227230483,-0.133854167,0.061941252,2.229585799,1.212247055,887.6624195,0.757661896,-0.234388127,-0.38966676,-0.38966676,-0.356202744,-0.38966676,-0.015794261,-0.006603497,0.112814465,2.716349311,flat
36,ACAD,12/31/2017,11/8/2017,Biotechnology,Healthcare,1,0,-0.09867381,0.411918225,0.116999312,-0.022583559,-0.120563533,11.12171098,0.095787197,156.4930575,0.087954481,-0.114003036,-1.863820338,-1.863820338,-1.833942324,-1.863820338,-0.276807914,-0.017203474,-0.304331167,0.183832469,down
408,CRMD,12/31/2017,11/10/2017,Biotechnology,Healthcare,0,1,0,-0.756637168,0.170212766,0.617647059,-0.191176471,3.257602509,0.439486087,534.5703643,0.305298469,-0.091313958,-131.1824969,-131.1824969,-163.0181907,-131.1824969,-0.522737209,-0.088452154,-0.238404268,-0.156107962,flat
83,AIG,12/31/2017,11/3/2017,Insurance - Diversified,Financial Services,0,1,-0.046945145,0.073162675,0.036198373,-0.00153657,0.048402711,0.600689547,1.408842524,346.5480851,0.854867981,-0.02987234,-0.21012766,-0.21012766,-0.148,-0.21012766,-0.034525277,0,-0.502587694,11.27777778,down
187,ARRY,12/31/2017,10/31/2017,Biotechnology,Healthcare,0,1,-0.01989644,0.828473413,0.448369565,0.438596491,-0.1437751,5.431113555,0.40122054,840.3466332,0.54884145,-0.017742773,-3.073048295,-3.073048295,-3.288384975,-3.073048295,0.57370673,-0.005945126,-0.193293678,-0.498226557,flat
210,AVEO,12/31/2017,11/7/2017,Biotechnology,Healthcare,0,1,0.016863806,3.819672131,4.068965517,0.069090909,-0.228346457,2.326759301,-0.400412797,187.8792805,2.068638968,-0.011270048,-0.46662332,-0.46662332,-5.72106632,-0.46662332,-0.887000122,-0.017592861,-0.908285032,-0.977425876,flat
21,ABC,12/31/2017,11/2/2017,Medical Distribution,Healthcare,1,0,-0.045252966,0.097865024,-0.114526754,-0.062293477,-0.073966642,0.906225277,12.99039556,96.13271518,0.94154396,0.0299596,0.01295521,0.01295521,-0.008808458,0.01295521,0.461435292,0.017936119,-0.109307664,0.312177733,down
256,BG,12/31/2017,11/1/2017,Farm Products,Consumer Defensive,1,0,0.011276684,0.109175939,0.025954654,-0.112287042,-0.00778996,1.604847349,1.089264877,97.80836908,0.622907746,0.043596253,0.015407511,0.015407511,0.008053926,0.015407511,-0.4781491,0.009061084,0.945652174,0.857142857,flat
1162,PAA,12/31/2017,11/7/2017,Oil & Gas Midstream,Energy,0,1,0.033146974,-0.265038924,-0.229313544,0.022145669,-0.026710403,0.999750996,0.46070896,142.1343436,0.595298827,0.044781202,0.007491912,0.007491912,0.005618934,0.007491912,-0.424242424,0,-0.424242424,0.667396061,flat
620,FLR,12/31/2017,11/3/2017,Engineering & Construction,Industrials,1,0,0.052574525,-0.136531365,-0.077210461,0.109835247,0.031554524,1.556308405,1.079269444,211.2274503,0.626487963,0.044835979,0.035532781,0.035532781,0.019115742,0.035532781,0.003957244,0,0.545684554,-0.650414388,up
167,ANW,12/31/2017,11/16/2017,Oil & Gas Integrated,Energy,0,3,-0.045120435,-0.611428571,-0.666666667,-0.298969072,-0.260869565,1.559861344,1.073934404,161.9936055,0.64289895,0.050504975,0.005009207,0.005009207,-0.002808519,0.005009207,-0.10227455,0.006965291,-2.833907285,0.073276153,down
296,CAH,12/31/2017,11/6/2017,Medical Distribution,Healthcare,1,0,-0.018581477,-0.061180789,-0.147618386,-0.113518198,-0.068306011,1.058820904,3.355345912,93.72966515,0.840081068,0.051223921,0.014215251,0.014215251,0.003523176,0.014215251,-4.824724809,0.036783697,0.452173913,0.193903472,flat
966,MCK,12/31/2017,10/26/2017,Medical Distribution,Healthcare,1,0,-0.053311599,-0.044794953,0.09085669,-0.068479665,-0.029176018,1.053726996,3.389123216,137.605021,0.79975253,0.054436142,0.015962045,0.015962045,1.92E-05,0.015962045,0.087397581,0.025068056,584,-0.451505017,down
45,ADM,12/31/2017,10/31/2017,Farm Products,Consumer Defensive,0,1,-0.046375423,-0.017894012,0.027357811,0.005165532,0.004458001,1.612060979,0.675754126,101.5461658,0.547589109,0.054764956,0.022526472,0.022526472,0.012949349,0.022526472,0.818532819,0.023337551,0.916666667,0.405469679,down
1133,OHI,12/31/2017,10/31/2017,REIT - Healthcare Facilities,Real Estate,0,1,-0.070562441,-0.00959386,-0.047955733,-0.006735087,-0.016200762,3.400997059,0.056003225,1054.832019,0.556518278,0.059552536,-0.320550178,-0.320550178,-0.599522851,-0.320550178,0.135167366,0,-1.68133629,-0.025705177,down
1448,TIS,12/31/2017,3/6/2018,Household & Personal Products,Consumer Defensive,1,0,-0.134196065,-0.629948365,0.053921569,-0.210139603,-0.251392758,0.229264996,1.506601882,165.6204064,0.634374339,0.060657044,-0.011489418,-0.011489418,0.015607013,-0.011489418,0.361712362,0.014993443,-17.43120567,0.002165172,down
1278,RMTI,12/31/2017,11/9/2017,Drug Manufacturers - Major,Healthcare,0,1,0.058594164,0.286031042,-0.167862267,-0.089481947,-0.188811189,8.030040789,0.186805731,134.1126154,0.380146004,0.073224723,-0.343561631,-0.343561631,-0.345732357,-0.343561631,-1.141939282,-0.009883059,-0.391534971,0.122984994,up
864,JD,12/31/2017,11/13/2017,Specialty Retail,Consumer Cyclical,1,0,0.0339516,0.638376384,-0.006711409,-0.096949153,0.032024793,1.121017972,2.141897003,161.4336776,0.71276587,0.078916493,0.005998907,0.005998907,0.012111467,0.005998907,-0.288948383,0,-1.681378107,-17.48448527,flat
697,GPRE,12/31/2017,11/2/2017,Specialty Chemicals,Basic Materials,0,1,-0.078780878,-0.311195446,-0.263691684,-0.04973822,-0.10701107,1.573013486,0.779077214,52.29478993,0.614084565,0.085592548,0.022986236,0.022986236,0.038163187,0.022986236,0.252863281,0.024878202,-1.462435308,0.240919456,down
1583,VRTX,12/31/2017,10/26/2017,Biotechnology,Healthcare,1,0,-0.020925874,0.865074323,0.250212911,-0.060119086,-0.015227745,3.275427407,0.396822136,166.3451523,0.436191131,0.087075489,-0.121705741,-0.121705741,-0.178066815,-0.121705741,0.116851966,-0.001925336,-2.530791048,0.114624366,flat
555,ESRX,12/31/2017,10/25/2017,Health Care Plans,Healthcare,0,1,0.038501547,-0.156876791,-0.039654047,-0.072790295,-0.066613799,0.730491796,1.090491,101.6106979,0.689055232,0.090656068,0.059894504,0.059894504,0.03409984,0.059894504,0.307252864,0,-0.045740763,0.312858572,flat
97,AKS,12/31/2017,10/25/2017,Steel,Basic Materials,0,1,-0.034289073,0.200385356,-0.034108527,-0.001602564,0.168855535,1.923934687,-5.684210526,137.6169444,0.960419797,0.098574583,0.028441411,0.028441411,-0.003881416,0.028441411,-0.966810967,0,9.827586207,1.028455285,flat
329,CEQP,12/31/2017,10/31/2017,Oil & Gas Midstream,Energy,0,1,0.049190244,0.166666667,-0.068493151,-0.064833006,-0.042253521,0.944850637,0.305605209,131.7758476,0.474443683,0.101611553,-0.009418167,-0.009418167,-0.035893679,-0.009418167,-0.642857143,0,-0.466472303,0.667366212,up
326,CENX,12/31/2017,10/27/2017,Aluminum,Basic Materials,0,1,-0.00263158,1,0.115835777,-0.094047619,-0.099940863,2.610353639,0.253113144,47.57039274,0.505524595,0.103338367,0.067318948,0.067318948,0.051873853,0.067318948,0.249923944,0.006981549,-0.158879854,0.183839913,flat
352,CLNE,12/31/2017,11/3/2017,Oil & Gas Refining & Marketing,Energy,0,1,-0.148587383,-0.417073171,-0.036290323,-0.008298755,-0.020491803,3.523690906,0.212263703,344.7489975,0.416961901,0.103518682,-0.372102406,-0.372102406,-1.150980536,-0.372102406,-0.102555614,0.005595401,-0.78780765,3.072234763,down
