Underlying,quarter,1Year,1month,3month,6month,industry,sector,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
UPS,12/31/2017,0.099499258,-0.000421514,0.100009277,0.089497381,Integrated Shipping & Logistics,Industrials,1.223481272,12.708,200.5571193,0.977314274,0.192415954,0.080407881,0.080407881,0.05863296,0.080407881,-0.029518072,0.022603836,-2.760869565,0.255869343,flat
UPS,3/31/2018,0.166681939,0.029514029,0.078160725,0.155668512,Integrated Shipping & Logistics,Industrials,1.221634227,8.295386905,172.102203,0.969076107,0.197393794,0.088821364,0.088821364,0.07859522,0.088821364,0.016083521,-0.013947875,0.384386617,0.248094418,down
UPS,6/30/2018,0.012108793,0.063521582,-0.174880401,-0.092078877,Integrated Shipping & Logistics,Industrials,1.207694986,4.934707904,165.5631302,0.947902616,0.222846013,0.116636114,0.116636114,0.085071036,0.116636114,0.157807309,0.007954837,0.233670034,0.111394829,up
URBN,10/31/2017,-0.461587708,-0.057174888,-0.177908113,-0.390800435,Apparel Stores,Consumer Cyclical,2.286387928,0.32928889,32.03164519,0.342286737,0.333506576,0.081642163,0.081642163,0.050507743,0.081642163,-0.179072621,0.083427679,0.016277832,0.00122988,up
URBN,4/30/2018,0.440031153,0.15238392,0.180715198,0.752606635,Apparel Stores,Consumer Cyclical,2.643126447,0.308293505,37.93630389,0.343601231,0.327993381,0.062985574,0.062985574,0.04821851,0.062985574,0.100387934,0.066716799,0.008313136,0.029548184,flat
URI,9/30/2017,0.747387016,0.142334713,-0.006278778,0.069176725,Rental & Leasing Services,Industrials,0.924421884,0.801899593,237.8907135,0.839129802,0.451302378,0.281426954,0.281426954,0.112684032,0.281426954,-0.043209877,-0.006849909,0.407035176,0.076923077,flat
URI,12/31/2017,0.888016745,0.103870277,0.177737882,0.274461321,Rental & Leasing Services,Industrials,1.06235012,0.537025113,234.1545265,0.79334664,0.446930281,0.277835588,0.277835588,0.466701353,0.277835588,0.079545455,-0.017527675,-0.694537347,0.017241379,flat
URI,3/31/2018,0.632954846,0.094577851,0.311280746,0.530945701,Rental & Leasing Services,Industrials,0.968921389,0.536625245,242.9123414,0.791802832,0.38638985,0.211649366,0.211649366,0.105536332,0.211649366,-0.26618705,0.008856406,-0.098360656,-0.144859813,flat
URI,6/30/2018,0.501752044,-0.02786779,-0.000943553,0.234652582,Rental & Leasing Services,Industrials,0.6756393,0.70448799,232.2025383,0.79057453,0.421998942,0.260179799,0.260179799,0.142781597,0.260179799,-1.376068376,0.029135968,0.025925926,0.049652433,down
USCR,9/30/2017,0.391522089,-0.015189873,0.110635261,0.189602446,Building Materials,Basic Materials,2.306419642,0.846822645,256.3402777,0.776303266,0.216674938,0.085131462,0.085131462,0.067828823,0.085131462,-0.09456101,0.012879508,-0.253221917,0.054356566,flat
USCR,3/31/2018,0.154761905,-0.124021674,-0.009530293,0.000687758,Building Materials,Basic Materials,1.437162393,0.813045828,255.4733867,0.777126004,0.18473887,0.025028448,0.025028448,-0.011769838,0.025028448,0.383302381,0.007647023,-0.679108346,-0.120720234,down
USCR,6/30/2018,-0.077165354,-0.029801325,-0.300298507,-0.251118211,Building Materials,Basic Materials,1.411205911,0.826964107,234.6321499,0.76744928,0.207723899,0.074084612,0.074084612,0.04023998,0.074084612,-0.570359351,0.011711737,0.205164464,0.195630359,flat
UTX,9/30/2017,0.150692785,-0.011897924,0.030375631,0.078935579,Aerospace & Defense,Industrials,1.30551705,0.844985108,318.1330501,0.66663899,0.266830434,0.135373788,0.135373788,0.088301686,0.135373788,-0.096796902,0.006663345,-1.577443609,-1.75862069,flat
UTX,12/31/2017,0.225195095,0.057747834,0.003903006,0.034397193,Aerospace & Defense,Industrials,1.347136239,0.823741979,293.1871811,0.674453157,0.254145408,0.102295918,0.102295918,0.025318878,0.102295918,0.051419032,-0.004482316,3.173803526,-0.07100357,flat
UTX,3/31/2018,0.232825811,0.068494227,0.124865625,0.104767319,Aerospace & Defense,Industrials,1.323029054,0.81047357,351.7333683,0.669697,0.26249836,0.140204698,0.140204698,0.08509382,0.140204698,-0.171383853,0.018563309,-0.34926754,-0.026490066,flat
UTX,6/30/2018,0.073658579,0.009402338,-0.086901856,0.033224538,Aerospace & Defense,Industrials,1.458273496,0.799260298,333.1212212,0.670411248,0.256390302,0.134750075,0.134750075,0.122598025,0.134750075,0.307372606,0.017946044,-0.498535156,0.148905804,flat
V,9/30/2017,0.236265121,0.037761794,0.076357652,0.200416004,Credit Services,Financial Services,1.903442065,0.366967761,192.0102987,0.518072289,0.965602472,0.66199794,0.66199794,0.440782698,0.66199794,0.246809804,0.00116421,0.635046729,-0.325262017,flat
V,12/31/2017,0.303474811,0.05313775,0.074962816,0.180679591,Credit Services,Financial Services,2.067081191,0.299480752,217.6336898,0.502620842,0.967091732,0.684286302,0.684286302,0.518716578,0.684286302,-0.213320226,-0.001510977,0.178033307,-0.056842867,flat
V,3/31/2018,0.52498787,0.087073065,0.14311693,0.241311216,Credit Services,Financial Services,1.94073919,0.333636078,270.5302582,0.506054286,0.966686379,0.657599054,0.657599054,0.513502858,0.657599054,0.00049128,0.000715533,0.520921305,-0.479787234,flat
V,6/30/2018,0.315926609,0.032453152,-0.02681654,0.127220311,Credit Services,Financial Services,1.691146881,0.392631428,197.476145,0.511287129,0.967748092,0.665076336,0.665076336,0.444465649,0.665076336,0.042680776,0.000229509,0.531987978,-0.03354413,up
VAC,9/30/2017,0.549301505,-0.017376344,-0.002880587,0.328719321,Resorts & Casinos,Consumer Cyclical,6.760033009,0.381711549,1307.119375,0.66375845,0.55501047,0.179345563,0.179345563,0.120390689,0.179345563,0.813206415,-0.003766116,0.677371081,-0.343223256,flat
VAC,12/31/2017,1.097970273,0.034844304,0.129010063,0.082460625,Resorts & Casinos,Consumer Cyclical,5.074108843,0.467879084,1043.315228,0.640416173,0.66314436,0.120338123,0.120338123,0.242440018,0.120338123,-0.027289462,0.059351817,-0.656914106,-1.150283673,up
VAC,3/31/2018,0.440444894,-0.061837339,0.06281707,0.259036677,Resorts & Casinos,Consumer Cyclical,6.073375157,0.356401527,1367.491799,0.613677924,0.591965637,0.167849389,0.167849389,0.112729848,0.167849389,-0.32573472,0.001789551,0.618993358,-3.36230326,flat
VAC,6/30/2018,0.082467875,-0.073730984,-0.192608153,-0.058629927,Resorts & Casinos,Consumer Cyclical,7.246499759,0.3423592,1261.770737,0.651474537,0.577503491,0.179298264,0.179298264,0.030111565,0.179298264,0.608168833,-0.016518159,2.265495772,-0.20324441,flat
VALE,9/30/2017,0.656084656,0.1152019,0.075601375,-0.128942486,Industrial Metals & Minerals,Basic Materials,1.855598751,0.238173401,240.6064685,0.544772635,0.402132867,0.358216783,0.358216783,0.249755245,0.358216783,-0.265770286,0.000641346,0.121097578,-0.029473962,flat
VALE,3/31/2018,0.365692743,0.110344828,0.319672131,0.356741573,Industrial Metals & Minerals,Basic Materials,1.525372685,0.223516899,175.4435773,0.514747838,0.3924531,0.351711299,0.351711299,0.183015896,0.351711299,0.19746651,-0.007257865,0.383020344,-0.280631277,down
