,Underlying,timestamp,quarter
682,CPA,2017-11-09,2017-12-31
689,CPE,2017-08-03,2017-09-30
690,CPE,2017-11-07,2017-12-31
691,CPE,2018-02-28,2018-03-31
692,CPE,2018-05-03,2018-06-30
693,CRC,2017-08-04,2017-09-30
695,CRC,2018-02-27,2018-03-31
696,CRC,2018-05-04,2018-06-30
701,CRM,2017-08-23,2017-10-31
702,CRM,2017-11-22,2018-01-31
703,CRM,2018-03-01,2018-04-30
704,CRM,2018-05-30,2018-07-31
705,CRMD,2017-08-10,2017-09-30
706,CRMD,2017-11-10,2017-12-31
707,CRMD,2018-03-20,2018-03-31
708,CRMD,2018-05-16,2018-06-30
709,CROX,2017-08-09,2017-09-30
710,CROX,2017-11-07,2017-12-31
711,CROX,2018-02-28,2018-03-31
712,CROX,2018-05-08,2018-06-30
714,CRSP,2017-11-10,2017-12-31
719,CRUS,2018-02-06,2018-03-31
720,CRUS,2018-05-03,2018-06-30
729,CSTE,2017-08-02,2017-09-30
730,CSTE,2017-11-01,2017-12-31
731,CSTE,2018-02-07,2018-03-31
732,CSTE,2018-05-09,2018-06-30
733,CSX,2017-07-19,2017-09-30
734,CSX,2017-10-17,2017-12-31
735,CSX,2018-01-17,2018-03-31
736,CSX,2018-04-18,2018-06-30
737,CTB,2017-08-04,2017-09-30
738,CTB,2017-10-30,2017-12-31
739,CTB,2018-02-20,2018-03-31
740,CTB,2018-04-30,2018-06-30
741,CTL,2017-08-03,2017-09-30
742,CTL,2017-11-09,2017-12-31
743,CTL,2018-02-15,2018-03-31
744,CTL,2018-05-10,2018-06-30
749,CTSH,2017-08-03,2017-09-30
750,CTSH,2017-11-01,2017-12-31
751,CTSH,2018-02-07,2018-03-31
752,CTSH,2018-05-07,2018-06-30
753,CTSO,2017-08-08,2017-09-30
754,CTSO,2017-11-10,2017-12-31
755,CTSO,2018-03-09,2018-03-31
756,CTSO,2018-05-08,2018-06-30
757,CTXS,2017-08-03,2017-09-30
758,CTXS,2017-10-26,2017-12-31
759,CTXS,2018-02-01,2018-03-31
760,CTXS,2018-04-26,2018-06-30
763,CVE,2017-07-27,2017-09-30
764,CVE,2017-11-02,2017-12-31
765,CVGW,2017-12-19,2017-07-31
766,CVGW,2018-03-07,2017-10-31
772,CVNA,2018-05-10,2018-06-30
773,CVS,2017-08-08,2017-09-30
774,CVS,2017-11-06,2017-12-31
